Year,Gov_agency_Cod,Sup_Gov_agency_Cod,Planned,Released,Gov_agency_Name,Sup_Gov_agency_Name,Paid_out
2015,30108,30000,"5.634.479.402,55","5.343.279.817,42",Departamento de Policia Federal,Ministerio da Justica e Seguranca Publica,"5.272.714.410,44"
2015,30202,81000,"557.802.259,27","510.973.233,87",Fundacao Nacional do açndio,"Ministerio da Mulher, Familia e Direitos Humanos","494.457.068,09"
2015,30203,25000,"838.681.042,60","752.331.010,71","Instituto Nacional de Metrologia, Qualidade e Tecnologia",Ministerio da Economia,"752.328.363,30"
2015,30204,25000,"321.822.266,92","315.273.632,88",Instituto Nacional da Propriedade Industrial,Ministerio da Economia,"315.273.632,88"
2015,30205,81000,"7.462.970,21","6.171.371,43",Fundacao Nacional do açndio - Patrimonio Indigena,"Ministerio da Mulher, Familia e Direitos Humanos","6.148.303,95"
2015,30211,30000,"32.317.342,53","28.487.694,96",Conselho Administrativo de Defesa Economica,Ministerio da Justica e Seguranca Publica,"28.487.682,36"
2015,30802,30000,"3.469.245.691,36","3.308.563.186,03",Departamento de Policia Rodoviaria Federal,Ministerio da Justica e Seguranca Publica,"3.304.216.865,78"
2015,30905,30000,"3.526.844,01","3.526.844,01",Secretaria Nacional do Consumidor Fundo,Ministerio da Justica e Seguranca Publica,"3.526.007,23"
2015,30907,30000,"256.407.416,24","43.251.933,82",Fundo Penitenciario Nacional,Ministerio da Justica e Seguranca Publica,"38.335.421,50"
2015,30911,30000,"311.654.565,61","116.085.799,73",Fundo Nacional de Seguranca Publica,Ministerio da Justica e Seguranca Publica,"116.083.203,13"
2015,30912,30000,"127.055.191,41","9.530.931,11",Fundo Nacional Antidrogas,Ministerio da Justica e Seguranca Publica,"8.625.201,02"
2015,31280,52000,"203.722.866,24","150.066.867,77",Caixa de Construcoes de Casas para o Pessoal da Marinha do Brasil,Ministerio da Defesa,"150.066.867,77"
2015,32000,32000,"20.653.963.755,83","19.668.467.421,93",Ministerio de Minas e Energia - Unidades com vinculo direto,Ministerio de Minas e Energia,"19.579.218.557,70"
2015,32205,32000,"467.595.862,89","366.304.198,96","Agencia Nacional do Petroleo, Gas Natural e Biocombustiveis",Ministerio de Minas e Energia,"358.649.185,54"
2015,32210,32000,"1.130.768.391,05","973.489.461,30",Agencia Nacional de Energia Eletrica,Ministerio de Minas e Energia,"968.876.545,81"
2015,32263,32000,"298.784.878,49","287.353.899,94",Departamento Nacional de Producao Mineral,Ministerio de Minas e Energia,"281.891.700,09"
2015,32314,32000,"99.130.270,43","86.249.992,20",Empresa de Pesquisa Energetica,Ministerio de Minas e Energia,"82.750.379,20"
2015,33000,33000,"707.336.046,87","687.063.629,97",Ministerio da Previdencia Social - Unidades com vinculo direto,Ministerio da Previdencia Social,"679.238.155,57"
2015,33206,25000,"54.085.085,10","50.023.231,98",Superintendencia Nacional de Previdencia Complementar,Ministerio da Economia,"48.672.555,93"
2015,34902,55000,"36.655.513,70","5.628.328,11",Fundo Nacional de Cultura,Ministerio da Cidadania,"5.628.328,11"
2015,35000,35000,"3.480.717.439,40","3.425.521.893,87",Ministerio das Relacoes Exteriores - Unidades com vinculo direto,Ministerio das Relacoes Exteriores,"3.420.244.069,52"
2015,35201,35000,"13.091.429,35","11.822.909,32",Fundacao Alexandre de Gusmao,Ministerio das Relacoes Exteriores,"11.822.909,32"
2015,36000,36000,"98.024.138.115,37","92.117.798.760,19",Ministerio da Saude - Unidades com vinculo direto,Ministerio da Saude,"91.957.054.720,25"
2015,36201,36000,"4.939.507.444,35","4.277.077.580,42",Fundacao Oswaldo Cruz,Ministerio da Saude,"3.886.473.898,75"
2015,36210,36000,"1.297.609.711,63","1.260.656.158,12",Hospital Nossa Senhora da Conceicao S.A.,Ministerio da Saude,"1.235.565.610,90"
2015,36211,36000,"2.842.293.355,10","2.348.202.905,92",Fundacao Nacional de Saude ,Ministerio da Saude,"2.340.805.539,41"
2015,36212,36000,"679.870.646,71","653.199.702,99",Agencia Nacional de Vigila¢ncia Sanitaria,Ministerio da Saude,"653.029.307,79"
2015,36213,36000,"272.712.046,41","255.691.744,99",Agencia Nacional de Saude Suplementar,Ministerio da Saude,"255.691.744,99"
2015,37201,25000,"103.872.579,82","97.516.107,70","Fundacao Jorge Duprat Figueiredo, de Seguranca e Medicina do Trabalho",Ministerio da Economia,"97.366.623,07"
2015,37202,25000,"55.480.114.043,29","55.260.825.517,37",Instituto Nacional do Seguro Social ,Ministerio da Economia,"53.471.895.701,05"
2015,37904,33000,"431.627.052.035,94","431.271.654.518,63",Fundo do Regime Geral da Previdencia Social,Ministerio da Previdencia Social,"405.449.598.399,86"
2015,38000,38000,"18.193.238.578,80","18.148.051.031,41",Ministerio do Trabalho e Emprego - Unidades com vinculo direto,Ministerio do Trabalho e Emprego,"18.135.443.331,54"
2015,38901,25000,"65.736.006.663,51","63.822.844.335,73",Fundo de Amparo ao Trabalhador,Ministerio da Economia,"63.805.785.565,57"
2015,39000,39000,"3.225.924.003,22","3.192.246.086,69","Ministerio dos Transportes, Portos e Aviacao Civil - Unidades com vinculo direto","Ministerio dos Transportes, Portos e Aviacao Civil","3.192.246.086,69"
2015,39250,39000,"772.794.146,51","370.303.059,76",Agencia Nacional de Transportes Terrestres,"Ministerio dos Transportes, Portos e Aviacao Civil","365.469.476,34"
2015,39252,39000,"7.301.622.589,39","3.400.226.500,77",Departamento Nacional de Infraestrutura de Transportes,"Ministerio dos Transportes, Portos e Aviacao Civil","1.857.714.713,86"
2015,39253,39000,"62.451.983,27","47.994.706,65",Empresa de Planejamento e Logistica S.A.,"Ministerio dos Transportes, Portos e Aviacao Civil","47.261.001,96"
2015,41000,41000,"1.626.936.748,57","1.501.322.634,58",Ministerio das Comunicacoes - Unidades com vinculo direto,Ministerio das Comunicacoes,"1.501.303.710,58"
2015,41231,24000,"449.752.919,92","426.459.957,59",Agencial Nacional de Telecomunicacoes,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","415.990.247,73"
2015,41232,24000,"51.419,00","51.419,00",O Fundo de Universalizacao dos Servicos de Telecomunicacoes,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","4.435,90"
